City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Puerto Ayora,EC,2022-12-15 21:07:18,-0.7393,-90.3518,78.76,92,86,5.01
1,Obihiro,JP,2022-12-15 21:07:18,42.9172,143.2044,18.68,58,1,19.44
2,Santa Maria,BR,2022-12-15 21:07:18,-29.6842,-53.8069,89.37,23,100,7.27
3,Atuona,PF,2022-12-15 21:07:19,-9.8,-139.0333,78.1,74,5,18.57
4,Morehead,US,2022-12-15 21:07:19,37.2711,-87.1764,46.15,59,75,11.5
5,Coari,BR,2022-12-15 21:07:20,-4.085,-63.1414,82.89,71,100,2.75
6,Lakatoro,VU,2022-12-15 21:07:20,-16.0999,167.4164,80.6,70,6,7.54
7,Ushuaia,AR,2022-12-15 21:03:10,-54.8,-68.3,48.54,91,100,2.64
8,Busselton,AU,2022-12-15 21:07:21,-33.65,115.3333,55.8,84,0,13.47
9,Sudbury,CA,2022-12-15 21:07:14,46.49,-80.99,32.05,97,100,10.0
10,Trinidad,BO,2022-12-15 21:07:22,-14.8333,-64.9,82.38,74,75,11.5
11,Punta Arenas,CL,2022-12-15 21:07:23,-53.15,-70.9167,53.71,82,100,6.91
12,Salalah,OM,2022-12-15 21:07:23,17.0151,54.0924,78.89,38,0,13.8
13,Port Lincoln,AU,2022-12-15 21:07:24,-34.7333,135.8667,58.28,68,100,14.36
14,Cooma,AU,2022-12-15 21:07:24,-36.2333,149.1333,44.64,72,59,10.96
15,Ribeirao Branco,BR,2022-12-15 21:07:24,-24.2208,-48.7656,68.43,77,79,2.93
16,Birin,NP,2022-12-15 21:07:25,26.8865,88.0718,51.1,78,94,1.25
17,Cape Town,ZA,2022-12-15 21:05:02,-33.9258,18.4232,75.9,75,68,15.99
18,Necochea,AR,2022-12-15 21:07:26,-38.5473,-58.7368,65.03,51,6,15.17
19,Butaritari,KI,2022-12-15 21:07:26,3.0707,172.7902,81.12,75,49,7.78
20,Kendari,ID,2022-12-15 21:07:26,-3.945,122.4989,75.65,93,100,3.27
21,Dali,CN,2022-12-15 21:07:27,25.7,100.1833,41.4,87,2,3.78
22,Lavrentiya,RU,2022-12-15 21:07:27,65.5833,-171.0,-6.09,86,28,4.07
23,Brzeg Dolny,PL,2022-12-15 21:07:28,51.273,16.7082,23.41,89,90,5.88
24,Vostok,RU,2022-12-15 21:07:28,46.4856,135.8833,-15.47,98,100,4.81
25,Souillac,MU,2022-12-15 21:07:29,-20.5167,57.5167,75.74,74,73,11.18
26,Lebu,CL,2022-12-15 21:07:29,-37.6167,-73.65,61.86,72,25,24.76
27,Nikolskoye,RU,2022-12-15 21:07:30,59.7035,30.7861,17.49,97,100,2.53
28,Saint-Philippe,RE,2022-12-15 21:07:30,-21.3585,55.7679,76.59,85,80,12.08
29,Khuzdar,PK,2022-12-15 21:07:31,27.7384,66.6434,52.23,18,1,5.48
30,Sijunjung,ID,2022-12-15 21:07:31,-0.6876,100.9537,70.32,97,67,1.61
31,Sabha,LY,2022-12-15 21:07:32,27.0377,14.4283,67.66,32,0,7.72
32,Namibe,AO,2022-12-15 21:07:32,-15.1961,12.1522,70.12,78,99,6.04
33,Hermanus,ZA,2022-12-15 21:07:33,-34.4187,19.2345,71.8,88,90,13.2
34,Laguna,US,2022-12-15 21:07:33,38.421,-121.4238,56.32,64,0,6.91
35,Chihuahua,MX,2022-12-15 21:03:48,28.5,-106.0,54.43,9,0,7.4
36,Belaya Gora,RU,2022-12-15 21:07:34,68.5333,146.4167,-46.55,99,42,0.2
37,Carberry,CA,2022-12-15 21:07:34,49.8689,-99.3602,23.23,94,100,19.48
38,Torbay,CA,2022-12-15 21:07:35,47.6666,-52.7314,39.58,97,100,31.0
39,Hithadhoo,MV,2022-12-15 21:07:35,-0.6,73.0833,81.12,71,85,10.63
40,Rikitea,PF,2022-12-15 21:07:36,-23.1203,-134.9692,74.21,75,97,7.96
41,Suez,EG,2022-12-15 21:07:36,29.9737,32.5263,62.94,70,0,5.66
42,Hobart,AU,2022-12-15 21:07:07,-42.8794,147.3294,52.27,88,75,13.8
43,Surgut,RU,2022-12-15 21:05:47,61.25,73.4167,-1.91,70,0,15.66
44,Ambon,ID,2022-12-15 21:07:37,-3.6954,128.1814,77.23,16,40,6.91
45,Jamestown,US,2022-12-15 21:07:37,42.097,-79.2353,38.79,72,100,17.27
46,Zhangye,CN,2022-12-15 21:08:38,38.9342,100.4517,10.78,86,100,3.09
47,Vaini,TO,2022-12-15 21:08:38,-21.2,-175.2,80.76,65,20,10.36
48,Kokopo,PG,2022-12-15 21:08:39,-4.352,152.2633,77.9,82,19,3.31
49,Avarua,CK,2022-12-15 21:08:39,-21.2078,-159.775,78.85,89,75,19.57
50,Mataura,NZ,2022-12-15 21:08:40,-46.1927,168.8643,61.9,83,99,1.74
51,Albany,US,2022-12-15 21:08:40,42.6001,-73.9662,35.94,78,100,4.0
52,Faanui,PF,2022-12-15 21:08:41,-16.4833,-151.75,80.11,77,99,18.28
53,Gorin,RU,2022-12-15 21:08:41,51.1983,136.6669,-6.0,97,100,5.73
54,Bluff,NZ,2022-12-15 21:08:42,-46.6,168.3333,56.73,90,100,3.69
55,Qaanaaq,GL,2022-12-15 21:08:42,77.484,-69.3632,14.41,73,100,8.86
56,Dingle,PH,2022-12-15 21:08:43,10.9995,122.6711,76.03,93,100,7.11
57,Carnarvon,AU,2022-12-15 21:08:43,-24.8667,113.6333,71.42,79,0,19.57
58,Thompson,CA,2022-12-15 21:08:44,55.7435,-97.8558,20.59,93,100,7.45
59,Alihe,CN,2022-12-15 21:08:44,50.5667,123.7167,-24.32,95,10,3.85
60,Port Elizabeth,ZA,2022-12-15 21:08:44,-33.918,25.5701,72.32,96,100,2.3
61,Bambous Virieux,MU,2022-12-15 21:08:45,-20.3428,57.7575,76.21,73,73,12.57
62,Chalette-Sur-Loing,FR,2022-12-15 21:08:45,48.0134,2.7359,31.32,81,100,9.01
63,Kidal,ML,2022-12-15 21:08:46,18.4411,1.4078,73.63,16,0,7.65
64,Iraray,PH,2022-12-15 21:08:46,8.9936,118.0511,78.26,87,100,7.05
65,Adre,TD,2022-12-15 21:08:47,13.4667,22.2,67.33,18,37,11.34
66,Airai,TL,2022-12-15 21:08:47,-8.9266,125.4092,60.93,88,100,1.74
67,Victoria,HK,2022-12-15 21:08:48,22.2855,114.1577,62.26,93,100,8.99
68,Chifeng,CN,2022-12-15 21:08:48,42.2683,118.9636,1.94,50,10,6.11
69,Ayan,RU,2022-12-15 21:08:48,56.45,138.1667,-14.22,74,100,22.21
70,Yellowknife,CA,2022-12-15 21:08:49,62.456,-114.3525,-5.28,84,100,6.91
71,Moreira Sales,BR,2022-12-15 21:08:49,-24.0622,-53.0069,77.23,66,62,4.16
72,Soe,ID,2022-12-15 21:08:50,-9.8607,124.284,66.29,86,100,2.77
73,Tura,IN,2022-12-15 21:08:50,25.5198,90.2201,57.6,68,2,2.08
74,Bredasdorp,ZA,2022-12-15 21:08:51,-34.5322,20.0403,69.94,91,90,13.0
75,Balabac,PH,2022-12-15 21:08:51,7.9868,117.0645,80.08,84,100,13.02
76,Tomobe,JP,2022-12-15 21:08:52,36.35,140.3,39.02,55,9,4.34
77,Liverpool,GB,2022-12-15 21:08:52,53.4106,-2.9779,27.61,92,0,2.3
78,Shache,CN,2022-12-15 21:08:52,38.4167,77.2406,25.93,49,99,3.47
79,Arraial Do Cabo,BR,2022-12-15 21:08:53,-22.9661,-42.0278,76.86,65,20,16.11
80,Ahuimanu,US,2022-12-15 21:08:53,21.4447,-157.8378,81.19,61,20,6.91
81,Half Moon Bay,US,2022-12-15 21:08:54,37.4636,-122.4286,58.8,50,0,6.91
82,Soyo,AO,2022-12-15 21:08:54,-6.1349,12.3689,78.04,87,70,6.82
83,Clyde River,CA,2022-12-15 21:08:55,70.4692,-68.5914,7.03,78,0,39.12
84,La Ronge,CA,2022-12-15 21:08:55,55.1001,-105.2842,11.61,86,49,8.66
85,Pevek,RU,2022-12-15 21:08:56,69.7008,170.3133,-33.66,97,10,0.16
86,Norman Wells,CA,2022-12-15 21:08:56,65.282,-126.8329,-5.12,98,100,2.46
87,Lompoc,US,2022-12-15 21:08:57,34.6391,-120.4579,61.02,68,0,5.75
88,Nome,US,2022-12-15 21:07:57,64.5011,-165.4064,-7.53,92,0,4.61
89,Buraydah,SA,2022-12-15 21:08:57,26.326,43.975,64.15,45,2,10.45
90,Caxito,AO,2022-12-15 21:08:58,-8.5785,13.6643,75.61,87,92,1.39
91,San Patricio,US,2022-12-15 21:08:58,28.017,-97.5169,71.69,36,2,6.69
92,Kavieng,PG,2022-12-15 21:09:58,-2.5744,150.7967,81.05,77,98,2.89
93,Paka,MY,2022-12-15 21:09:59,4.6374,103.4368,73.38,89,100,3.85
94,Tynda,RU,2022-12-15 21:09:59,55.1667,124.7167,-35.07,95,29,4.74
95,Kharan,PK,2022-12-15 21:10:00,28.5833,65.4167,52.07,21,1,3.65
96,Devrek,TR,2022-12-15 21:10:00,41.2192,31.9558,55.54,92,100,3.51
97,Kaitangata,NZ,2022-12-15 21:10:01,-46.2817,169.8464,61.14,84,95,3.04
98,Upernavik,GL,2022-12-15 21:10:01,72.7868,-56.1549,24.08,87,100,30.29
99,Caborca,MX,2022-12-15 21:10:02,30.5838,-111.101,58.57,21,5,5.28
100,Maceio,BR,2022-12-15 21:10:02,-9.6658,-35.7353,80.04,78,0,10.36
101,Longyearbyen,SJ,2022-12-15 21:10:03,78.2186,15.6401,4.84,66,40,10.36
102,Megion,RU,2022-12-15 21:10:03,61.0296,76.1136,-4.99,82,90,11.39
103,Haines Junction,CA,2022-12-15 21:10:04,60.7522,-137.5108,25.75,91,100,3.62
104,Chuy,UY,2022-12-15 21:10:04,-33.6971,-53.4616,62.85,91,97,11.34
105,Prince Rupert,CA,2022-12-15 21:10:05,54.3161,-130.3201,40.05,79,100,3.62
106,Chase,CA,2022-12-15 21:10:05,50.8165,-119.6857,29.32,87,92,1.36
107,Zhigansk,RU,2022-12-15 21:10:06,66.7697,123.3711,-47.22,100,83,0.43
108,Khatanga,RU,2022-12-15 21:10:07,71.9667,102.5,-23.33,100,100,4.43
109,Dubovka,RU,2022-12-15 21:10:08,49.0583,44.829,25.75,96,100,6.13
110,Sitka,US,2022-12-15 21:10:08,57.0531,-135.33,42.69,87,100,6.91
111,Bonavista,CA,2022-12-15 21:10:09,48.6499,-53.1147,36.34,93,100,33.55
112,Sotnikovskoye,RU,2022-12-15 21:10:09,45.0039,43.7772,32.22,86,100,6.53
113,Fortuna,US,2022-12-15 21:10:10,40.5982,-124.1573,52.93,70,0,6.91
114,Ponta Do Sol,PT,2022-12-15 21:10:10,32.6667,-17.1,64.71,77,54,14.27
115,Saint George,US,2022-12-15 21:05:18,37.1041,-113.5841,48.43,40,0,4.61
116,Hilo,US,2022-12-15 21:05:16,19.7297,-155.09,79.61,74,20,10.36
117,Arona,ES,2022-12-15 21:10:11,28.0996,-16.681,63.12,76,75,3.44
118,Barrow,US,2022-12-15 21:10:12,71.2906,-156.7887,10.42,72,100,9.22
119,Vohibinany,MG,2022-12-15 21:10:12,-17.35,49.0333,71.49,98,71,1.81
120,Kodiak,US,2022-12-15 21:10:13,57.79,-152.4072,36.91,93,100,5.75
121,Hirado,JP,2022-12-15 21:10:13,33.3597,129.5531,41.4,60,100,10.0
122,Linjiang,CN,2022-12-15 21:10:14,41.8069,126.9078,-3.57,89,4,1.79
123,Mayo,US,2022-12-15 21:10:14,38.8876,-76.5119,46.96,94,100,13.8
124,Kapaa,US,2022-12-15 21:10:15,22.0752,-159.319,80.92,68,0,6.91
125,Georgetown,MY,2022-12-15 21:07:17,5.4112,100.3354,82.24,81,20,0.0
126,The Pas,CA,2022-12-15 21:10:15,53.8251,-101.2541,19.42,86,100,11.5
127,Sao Filipe,CV,2022-12-15 21:10:16,14.8961,-24.4956,78.82,63,0,10.31
128,Menongue,AO,2022-12-15 21:10:16,-14.6585,17.691,63.99,92,85,3.91
129,Bengkulu,ID,2022-12-15 21:10:17,-3.8004,102.2655,75.02,89,80,6.55
130,Burnie,AU,2022-12-15 21:10:17,-41.0667,145.9167,57.94,54,0,1.34
131,Ancud,CL,2022-12-15 21:10:18,-41.8697,-73.8203,60.15,61,100,6.33
132,Bethel,US,2022-12-15 21:10:18,41.3712,-73.414,39.02,80,100,5.75
133,La Palma,US,2022-12-15 21:10:19,33.8464,-118.0467,66.51,47,75,5.75
134,Palu,ID,2022-12-15 21:10:19,-0.8917,119.8707,73.9,96,87,2.42
135,Sosnovka,RU,2022-12-15 21:10:20,56.255,51.2842,-3.42,100,100,2.86
136,Port Alfred,ZA,2022-12-15 21:10:20,-33.5906,26.891,69.19,96,9,3.27
137,Baffa,PK,2022-12-15 21:10:21,34.4378,73.2194,54.77,21,100,5.28
138,Quatre Cocos,MU,2022-12-15 21:11:21,-20.2078,57.7625,76.08,72,76,12.15
139,Atasu,KZ,2022-12-15 21:11:22,48.6814,71.6433,2.68,76,0,8.32
140,Tasiilaq,GL,2022-12-15 21:11:22,65.6145,-37.6368,19.56,62,90,5.06
141,Asau,RO,2022-12-15 21:11:23,46.4333,26.4,29.32,93,33,3.06
142,Saskylakh,RU,2022-12-15 21:11:23,71.9167,114.0833,-30.69,100,99,1.74
143,San Cristobal,VE,2022-12-15 21:11:23,7.7669,-72.225,77.18,60,15,5.37
144,Komsomolskiy,UZ,2022-12-15 21:11:24,40.4272,71.7189,30.92,86,9,4.61
145,Masallatah,LY,2022-12-15 21:11:24,32.6167,14.0,69.24,41,27,14.79
146,Severo-Kurilsk,RU,2022-12-15 21:11:25,50.6789,156.125,24.73,75,81,12.59
147,Xining,CN,2022-12-15 21:11:25,36.6167,101.7667,12.24,72,100,6.15
148,Ahipara,NZ,2022-12-15 21:08:32,-35.1667,173.1667,69.87,81,100,3.83
149,Zeya,RU,2022-12-15 21:11:26,53.75,127.2667,-22.94,89,90,5.88
150,Matara,LK,2022-12-15 21:11:26,5.9485,80.5353,74.41,89,100,1.41
151,Dikson,RU,2022-12-15 21:11:27,73.5069,80.5464,4.33,90,100,23.44
152,Erenhot,CN,2022-12-15 21:11:27,43.6475,111.9767,2.28,59,100,11.54
153,Los Llanos De Aridane,ES,2022-12-15 21:11:29,28.6585,-17.9182,62.35,80,75,5.75
154,Bria,CF,2022-12-15 21:11:29,6.5423,21.9863,74.79,26,16,5.41
155,Antalaha,MG,2022-12-15 21:11:30,-14.9003,50.2788,73.31,91,27,4.76
156,Bathsheba,BB,2022-12-15 21:11:30,13.2167,-59.5167,83.01,88,40,16.11
157,Santa Vitoria Do Palmar,BR,2022-12-15 21:11:31,-33.5189,-53.3681,63.01,93,91,11.18
158,Gort,IE,2022-12-15 21:11:31,53.0664,-8.8167,28.15,94,24,0.49
159,New Norfolk,AU,2022-12-15 21:11:32,-42.7826,147.0587,51.93,71,95,1.99
160,Klyuchi,RU,2022-12-15 21:11:32,52.2667,79.1667,-13.79,92,11,7.38
161,Eaglesham,GB,2022-12-15 21:11:33,55.7412,-4.2746,26.55,90,20,2.3
162,Dabrowa Tarnowska,PL,2022-12-15 21:11:33,50.1746,20.9863,28.89,95,100,6.58
163,Gibara,CU,2022-12-15 21:11:34,21.1097,-76.1317,88.92,51,8,12.12
164,Kahului,US,2022-12-15 21:11:34,20.8947,-156.47,80.62,62,0,6.91
165,Biala Podlaska,PL,2022-12-15 21:11:35,52.0324,23.1165,23.81,91,100,1.74
166,Miri,MY,2022-12-15 21:11:35,4.4148,114.0089,75.16,96,100,4.21
167,Gorzow Wielkopolski,PL,2022-12-15 21:11:36,52.7368,15.2288,18.84,76,2,1.99
168,Moindou,NC,2022-12-15 21:11:36,-21.6924,165.677,80.1,71,57,2.75
169,Mar Del Plata,AR,2022-12-15 21:11:37,-38.0023,-57.5575,66.83,68,0,18.41
170,Ribeira Grande,PT,2022-12-15 21:11:37,38.5167,-28.7,61.2,72,75,15.01
171,Grand Gaube,MU,2022-12-15 21:11:37,-20.0064,57.6608,76.37,74,76,5.99
172,Donskoye,RU,2022-12-15 21:11:38,45.4552,41.9741,37.53,82,100,16.4
173,Monforte De Lemos,ES,2022-12-15 21:11:38,42.5216,-7.5142,49.57,93,74,2.39
174,Mogadouro,PT,2022-12-15 21:11:39,41.3403,-6.7119,46.26,93,63,3.6
175,Lulea,SE,2022-12-15 21:11:39,65.5842,22.1547,3.27,92,0,1.14
176,Burgos,ES,2022-12-15 21:09:51,42.3394,-3.7079,43.21,93,75,10.36
177,Whitley Bay,GB,2022-12-15 21:11:40,55.0397,-1.4471,31.91,88,0,3.44
178,Zalantun,CN,2022-12-15 21:11:40,48.0,122.7167,-9.71,74,8,7.18
179,Castro,BR,2022-12-15 21:11:41,-24.7911,-50.0119,70.63,70,3,4.76
